City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Sisimiut,GL,66.9395,-53.6735,40.03,93,99,5.82,overcast clouds
80,Mahebourg,MU,-20.4081,57.7,70.09,64,75,16.11,broken clouds
81,Santiago Del Estero,AR,-27.7951,-64.2615,49.78,59,0,7.61,clear sky
82,Carnarvon,AU,-24.8667,113.6333,59.61,57,30,17.38,scattered clouds
83,Tautira,PF,-17.7333,-149.15,73.18,84,100,9.62,overcast clouds
84,Gamba,GA,-2.65,10.0,69.64,92,74,5.21,broken clouds
85,Banda Aceh,ID,5.5577,95.3222,80.4,78,100,11.39,overcast clouds
86,Ribeira Grande,PT,38.5167,-28.7,73.72,76,12,1.05,few clouds
87,Vrangel,RU,42.7297,133.0839,71.65,79,0,7.65,clear sky
88,Lompoc,US,34.6391,-120.4579,85.57,62,0,14.97,clear sky
89,Kalmunai,LK,7.4167,81.8167,77.77,64,100,4.14,overcast clouds
90,Tutoia,BR,-2.7619,-42.2744,79.14,84,13,13.09,few clouds
91,Maniitsoq,GL,65.4167,-52.9,40.71,94,100,4.83,overcast clouds
92,Bismarck,US,46.8083,-100.7837,84.04,40,0,11.5,clear sky
93,Jacareacanga,BR,-6.2222,-57.7528,79.72,57,28,0.29,scattered clouds
94,Jiwani,PK,25.05,61.7417,84.15,76,100,3.98,overcast clouds
95,Saint-Pierre,RE,-21.3393,55.4781,65.88,70,75,25.32,broken clouds
96,San Quintin,MX,30.4833,-115.95,76.08,70,10,10.25,clear sky
97,Chuy,UY,-33.6971,-53.4616,47.62,83,0,9.06,clear sky
98,Mayo,US,38.8876,-76.5119,87.98,83,0,4.61,clear sky
99,Araouane,ML,18.9048,-3.5265,96.13,37,33,14.47,scattered clouds
100,Porto Novo,BJ,6.4965,2.6036,75.02,88,51,7.52,broken clouds
101,Gunjur,GM,13.2019,-16.7339,78.87,94,75,5.75,broken clouds
102,Lebu,CL,-37.6167,-73.65,47.86,80,100,10.38,overcast clouds
103,Saint-Georges,GD,12.0564,-61.7485,82.08,83,75,11.5,broken clouds
104,Namibe,AO,-15.1961,12.1522,63.36,88,37,3.11,scattered clouds
105,Kavaratti,IN,10.5669,72.642,80.56,83,100,19.04,overcast clouds
106,Paamiut,GL,61.994,-49.6678,42.17,87,100,9.75,overcast clouds
107,Piacabucu,BR,-10.4056,-36.4344,72.28,83,8,5.23,clear sky
108,Ust-Maya,RU,60.4167,134.5333,55.72,93,100,4.21,overcast clouds
109,Mporokoso,ZM,-9.3727,30.125,56.8,56,0,6.96,clear sky
110,Canutama,BR,-6.5339,-64.3831,80.19,61,100,2.66,overcast clouds
111,Upernavik,GL,72.7868,-56.1549,40.35,94,100,18.77,overcast clouds
112,Eisiskes,LT,54.1667,25.0,52.66,94,6,5.57,clear sky
113,Tahe,CN,52.3333,124.7333,59.95,76,62,9.62,light rain
114,Mandalgovi,MN,45.7625,106.2708,69.37,46,22,10.78,few clouds
115,Chokurdakh,RU,70.6333,147.9167,62.1,52,5,8.72,clear sky
116,Bilma,NE,18.6853,12.9164,92.21,31,32,7.78,scattered clouds
117,Mahur,IN,25.1667,93.1167,70.3,96,100,0.96,light rain
118,Umm Kaddadah,SD,13.6017,26.6876,80.98,62,90,4.72,overcast clouds
119,Raga,SS,8.4596,25.678,68.32,96,100,4.83,overcast clouds
120,Avarua,CK,-21.2078,-159.775,77.05,61,75,12.66,broken clouds
121,East London,ZA,-33.0153,27.9116,64.92,45,93,5.26,overcast clouds
122,Tupik,RU,54.4253,119.9327,51.91,95,100,3.69,overcast clouds
123,Saskylakh,RU,71.9167,114.0833,54.07,92,100,5.26,light rain
124,Poum,NC,-20.2333,164.0167,70.86,64,17,23.2,few clouds
125,Vestmanna,FO,62.1564,-7.1664,54.52,94,100,4.61,moderate rain
126,Sao Filipe,CV,14.8961,-24.4956,79.41,87,82,0.87,broken clouds
127,Bredasdorp,ZA,-34.5322,20.0403,51.13,80,60,8.84,broken clouds
128,Dafeng,CN,23.4517,108.5881,79.16,86,100,5.32,overcast clouds
129,Verkhnevilyuysk,RU,63.4453,120.3167,62.94,63,90,6.33,overcast clouds
130,Codrington,AU,-38.2667,141.9667,51.6,64,100,13.6,overcast clouds
131,Erie,US,42.7667,-78.6664,69.22,79,99,3.51,overcast clouds
132,Sabang,ID,5.8933,95.3214,81.95,76,100,18.1,overcast clouds
133,Annau,TM,37.8876,58.516,74.7,41,75,0.0,broken clouds
134,Port Elizabeth,ZA,-33.918,25.5701,59.31,89,0,17.27,clear sky
135,Faanui,PF,-16.4833,-151.75,74.68,78,100,7.29,light rain
136,Pangnirtung,CA,66.1451,-65.7125,47.48,77,86,2.01,overcast clouds
137,Victoria Point,AU,-27.5833,153.3,70.16,54,10,8.01,clear sky
138,Kloulklubed,PW,7.0419,134.2556,84.7,69,61,9.8,broken clouds
139,Qaqortoq,GL,60.7167,-46.0333,42.22,90,93,7.49,overcast clouds
140,Tonj,SS,7.2737,28.6822,70.18,94,99,3.56,overcast clouds
141,Leningradskiy,RU,69.3833,178.4167,53.91,57,100,3.89,overcast clouds
142,Serdobsk,RU,52.4586,44.2169,65.64,59,23,5.88,few clouds
143,Port Shepstone,ZA,-30.7414,30.455,62.37,85,0,8.75,clear sky
144,Tokur,RU,53.1333,132.9,47.08,98,100,3.13,light rain
145,Muros,ES,42.7762,-9.0603,68.16,92,0,0.98,clear sky
146,Khani,GE,41.9563,42.9566,74.77,75,22,5.35,light rain
147,Sioux Lookout,CA,50.1001,-91.917,69.87,56,20,8.05,few clouds
148,Qingdao,CN,36.0986,120.3719,69.4,100,100,4.47,overcast clouds
149,Nunchia,CO,5.6406,-72.1986,71.4,97,93,2.44,moderate rain
150,Ust-Kuyga,RU,70.0167,135.6,65.46,50,1,8.46,clear sky
151,Barcelos,PT,41.5388,-8.6151,70.84,87,0,2.46,clear sky
152,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,16.11,scattered clouds
153,San Cristobal,VE,7.7669,-72.225,68.18,94,100,3.33,overcast clouds
154,La Ronge,CA,55.1001,-105.2842,68.25,34,20,10.36,few clouds
155,Yining,CN,29.0361,114.5636,89.98,55,100,1.57,overcast clouds
156,Airai,TL,-8.9266,125.4092,70.16,53,11,4.5,few clouds
157,Pisco,PE,-13.7,-76.2167,59.05,88,100,11.5,overcast clouds
158,Gotsu,JP,35.0,132.2167,84.61,72,100,7.9,overcast clouds
159,Tiksi,RU,71.6872,128.8694,58.51,72,64,16.64,broken clouds
160,Geraldton,AU,-28.7667,114.6,54.01,94,40,6.91,scattered clouds
161,Avera,US,33.194,-82.5271,83.71,68,98,7.0,overcast clouds
162,Hobart,AU,-42.8794,147.3294,53.26,68,75,6.91,broken clouds
163,Sitka,US,57.0531,-135.33,62.49,59,100,12.66,overcast clouds
164,Antsohihy,MG,-14.8796,47.9875,67.82,60,9,10.04,clear sky
165,Ilulissat,GL,69.2167,-51.1,39.22,93,100,10.36,overcast clouds
166,Saint-Philippe,RE,-21.3585,55.7679,65.79,77,97,15.95,overcast clouds
167,Suntar,RU,62.1444,117.6319,63.68,72,100,4.63,overcast clouds
168,Saint George,US,37.1041,-113.5841,86.59,46,20,12.66,few clouds
