City,City.1,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
74,Burns Lake,CA,80.02,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
75,Auki,SB,83.73,broken clouds,-8.7676,160.7034,Auki Motel
76,Bengkulu,ID,76.48,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
77,Bethel,US,82.76,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
78,Odweyne,SO,73.9,overcast clouds,9.4092,45.064,Eng Hiirey House
79,Hobyo,SO,76.8,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
80,Lebanon,US,77.79,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
81,Lamar,US,80.58,clear sky,33.6668,-95.5836,Kings Inn Paris TX
82,Camacari,BR,76.77,few clouds,-12.6975,-38.3242,Sítio Blasi
83,Kupang,ID,83.59,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
84,Baker City,US,83.91,broken clouds,44.7749,-117.8344,Bridge Street Inn
85,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
86,Pio Ix,BR,70.23,clear sky,-6.8375,-40.5792,Hotel Central
87,Sarakhs,IR,76.42,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
88,Kendari,ID,76.86,moderate rain,-3.945,122.4989,Hotel Wixel
89,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
90,Los Alamos,US,71.76,overcast clouds,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
91,Les Cayes,HT,80.08,few clouds,18.2,-73.75,Villa Orphee
92,Sao Jose Da Coroa Grande,BR,73.89,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
93,Pacific Grove,US,76.44,clear sky,36.6177,-121.9166,Lovers Point Inn
94,Salvador,SV,73.8,overcast clouds,13.8333,-88.9167,Chico's Ranch
95,Chabahar,IR,84.61,overcast clouds,25.2919,60.643,هتل گدروشیا
96,Shelton,US,84.22,overcast clouds,41.3165,-73.0932,Hilton Garden Inn Shelton
97,Road Town,VG,84.29,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
98,Rincon,US,83.84,broken clouds,32.296,-81.2354,Days Inn Rincon
99,Yangjiang,CN,81.48,heavy intensity rain,21.85,111.9667,HUALUXE Yangjiang City Center
100,Aquiraz,BR,80.19,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
101,Misratah,LY,81.5,clear sky,32.3754,15.0925,Almasa Hotel
102,Palmer,US,81.01,scattered clouds,42.1584,-72.3287,Wedgewood Motel
103,Basco,PH,84.63,broken clouds,20.4487,121.9702,Nathaniel's Lodge
104,General Cepeda,MX,70.63,overcast clouds,25.3833,-101.45,Hacienda Los Jose
105,Pandan Niog,PH,82.44,overcast clouds,6.2282,120.5631,
106,Garissa,KE,73.09,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
107,Indi,IN,72.23,overcast clouds,17.1667,75.9667,Shree Gurubhojanalaya
108,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Chifeng,CN,82.9,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
110,Luwuk,ID,81.5,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
111,Guerrero Negro,MX,79.34,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
112,Merauke,ID,80.74,overcast clouds,-8.4667,140.3333,
113,Fazilka,IN,83.19,clear sky,30.4,74.0333,Hotel Gulmarg
114,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
115,Vostok,RU,71.4,clear sky,46.4856,135.8833,
116,Chulucanas,PE,73.15,broken clouds,-5.0925,-80.1625,El Diamante
117,Mill Valley,US,77.04,clear sky,37.906,-122.545,Best Western Corte Madera Inn
118,Le Vauclin,MQ,78.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
119,Champerico,GT,76.15,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
120,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
121,Karacabey,TR,77.38,clear sky,40.2152,28.4038,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
122,Samtredia,GE,82.67,light rain,42.1537,42.3352,Temuri's Apartment
123,Sola,VU,80.35,clear sky,-13.8833,167.55,Leumerus Bungalows
124,Pringsewu,ID,79.45,overcast clouds,-5.3582,104.9744,Urban Style by Front One
125,Merrill,US,71.55,clear sky,45.1805,-89.6835,Prairie Motel
126,Karangasem,ID,79.11,overcast clouds,-8.45,115.6167,Villa Campuhan
127,Yamada,JP,83.37,overcast clouds,39.4667,141.95,Iroha-ya Inn
128,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
129,Padang,ID,75.25,few clouds,-0.9492,100.3543,Mercure Padang
130,Sujiatun,CN,78.98,clear sky,41.6592,123.3392,Hunnan Di Yicun Northern District
131,Saint Anthony,US,78.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
132,Nyzhni Sirohozy,UA,72.01,broken clouds,46.8484,34.3804,"КАФЕ & ГОСТИНИЦА ""Акуна Матата"""
133,Bardstown,US,81.12,clear sky,37.8092,-85.4669,Hampton Inn Bardstown
134,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
135,Fortaleza,BR,80.22,clear sky,-3.7227,-38.5247,Hotel Sonata de Iracema
136,Porbandar,IN,81.41,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
137,Ketchikan,US,70.27,clear sky,55.3422,-131.6461,Snow's Cove Lodge
138,Dandong,CN,73.74,clear sky,40.1292,124.3947,Yiranju Farmstay
139,Bonthe,SL,75.36,light rain,7.5264,-12.505,Bonthe Holiday Village
140,Mizdah,LY,73.45,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
141,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
142,Meulaboh,ID,77.72,overcast clouds,4.1363,96.1285,Kost Pria
143,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
144,Zlitan,LY,79.12,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
145,Altamira,BR,76.14,clear sky,-3.2033,-52.2064,Requinte Hotel
146,Kampong Thum,KH,78.39,broken clouds,12.7111,104.8887,Sambor Village Hotel
147,Mounana,GA,76.24,overcast clouds,-1.4085,13.1586,
148,Kununurra,AU,84.18,few clouds,-15.7667,128.7333,Hotel Kununurra
149,Swan River,CA,71.49,broken clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
150,Changli,CN,74.95,clear sky,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
151,Charthawal,IN,82.36,clear sky,29.55,77.5833,Golden Tant House
152,Taybad,IR,75.24,clear sky,34.74,60.7756,لی پوش jean center
